96.8	1	17.416	0.000108089
84.3	1	14.983	9.41314E-05
74.1	1	13.072	8.27419E-05
64.9	1	11.396	7.24689E-05
55.2	1	9.621	6.16377E-05
44.3	1	7.627	4.94665E-05
34.6	1	5.961	3.86352E-05
26.6	1	4.547	2.97022E-05
16.5	1	2.823	1.84243E-05
8	1	1.412	8.93299E-06
96.8	1	17.474	0.000108089
83.6	1	14.94	9.33498E-05
74.6	1	13.225	8.33002E-05
65.2	1	11.46	7.28039E-05
54.9	1	9.548	6.13027E-05
44.6	1	7.696	4.98014E-05
35.1	1	5.966	3.91935E-05
25.6	1	4.354	2.85856E-05
16	1	2.724	0.000017866
8.4	1	1.469	9.37964E-06
96.3	1	8.812	3.60229E-05
85.5	1	7.753	3.19829E-05
75.7	1	6.855	0.000028317
65.9	1	5.957	2.46512E-05
55.8	1	4.989	2.08731E-05
44.9	1	3.995	1.67957E-05
35.3	1	3.154	1.32046E-05
26.6	1	2.4	9.95024E-06
15.9	1	1.457	5.9477E-06
8	1	0.763	2.99255E-06
85.7	1	7.876	3.20577E-05
74.9	1	6.866	2.80178E-05
64.4	1	5.902	2.40901E-05
55	1	5.01	2.05738E-05
43.4	1	3.957	1.62346E-05
36.1	1	3.305	1.35039E-05
26.7	1	2.486	9.98765E-06
17	1	1.601	6.35918E-06
7.5	1	0.811	2.80552E-06
96.4	1	3.037	7.24793E-06
84.6	1	2.674	6.36074E-06
76	1	2.409	5.71414E-06
67.4	1	2.199	5.06754E-06
50.1	1	1.611	3.76682E-06
47.2	1	1.554	3.54878E-06
36.1	1	1.221	2.71422E-06
26.3	1	0.898	1.97739E-06
16.1	1	0.5622	1.2105E-06
8.5	1	0.3742	6.39081E-07
96.7	1	3.065	7.27049E-06
82.8	1	2.628	6.2254E-06
76.7	1	2.395	5.76677E-06
66.5	1	2.117	4.99987E-06
56.1	1	1.783	4.21794E-06
45	1	1.401	3.38337E-06
36.2	1	1.182	2.72173E-06
25.5	1	0.8432	1.91724E-06
16	1	0.5433	1.20298E-06
8	1	0.354	6.01488E-07
95.8	1	0.949	1.79357E-06
85.4	1	0.848	1.59886E-06
75.1	1	0.754	1.40603E-06
65.3	1	0.6644	1.22255E-06
55.1	1	0.5362	1.03159E-06
45.4	1	0.4674	8.49982E-07
35.3	1	0.3673	6.60889E-07
24.6	1	0.2377	4.60563E-07
15.9	1	0.1704	2.97681E-07
8.6	1	0.1073	1.6101E-07
95.5	1	0.944	1.78796E-06
84.4	1	0.825	1.58014E-06
74.1	1	0.726	1.38731E-06
65.4	1	0.6533	1.22442E-06
54.7	1	0.5003	1.0241E-06
46.2	1	0.4742	8.6496E-07
37	1	0.3402	6.92716E-07
24.6	1	0.2797	4.60563E-07
16.8	1	0.1876	3.14531E-07
8.5	1	0.1096	1.59138E-07
96.7	1	0.2264	3.63884E-07
84.5	1	0.1868	3.17976E-07
75.4	1	0.1494	2.83732E-07
64.6	1	0.1476	2.43091E-07
56.7	1	0.1183	2.13363E-07
45.3	1	0.103	1.70465E-07
36.2	1	0.084	1.36221E-07
26.3	1	0.0643	9.89675E-08
96.1	1	0.2226	3.61627E-07
85.8	1	0.2133	3.22867E-07
76.2	1	0.1457	2.86742E-07
64.3	1	0.1369	2.41962E-07
55.5	1	0.1246	2.08848E-07
44.8	1	0.1093	1.68583E-07
35.5	1	0.0949	1.33587E-07
27.2	1	0.08301	1.02354E-07
